"District","State","Yearcode","Ground_water_level","ID","SDP","gini"
"hathras","uttar pradesh",2013,10.1525,1632013,"707469",0.25
"hathras","uttar pradesh",2011,9.6775,1632011,"645132",0.25
"hathras","uttar pradesh",2015,10.445,1632015,"792049",0.25
"hathras","uttar pradesh",2019,22.88,1632019,"980106",0.25
"hathras","uttar pradesh",2018,14.32,1632018,"949184",0.25
"hathras","uttar pradesh",2014,10.025,1632014,"729686",0.25
"hathras","uttar pradesh",2017,13.638,1632017,"922458",0.25
"hathras","uttar pradesh",2016,10.7125,1632016,"888453",0.25
"haveri","karnataka",2019,9.13,5402019,"1030357",0.24
"haveri","karnataka",2018,10.76,5402018,"974815",0.24
"haveri","karnataka",2015,8.1125,5402015,"749952",0.24
"haveri","karnataka",2013,9.88,5402013,"646787",0.24
"haveri","karnataka",2012,9.29333333333333,5402012,"593192",0.24
"haveri","karnataka",2021,6.49,5402021,"1127480",0.24
"haveri","karnataka",2014,8.9425,5402014,"671283",0.24
"haveri","karnataka",2020,4.95666666666667,5402020,"1026875",0.24
"haveri","karnataka",2016,9.305,5402016,"851394",0.24
"haveri","karnataka",2011,7.5475,5402011,"554952",0.24
"haveri","karnataka",2017,12.0325,5402017,"915642",0.24
"hazaribagh","jharkhand",2014,5.2775,3322014,"170568",0.24
"hazaribagh","jharkhand",2021,5.67,3322021,"213681",0.24
"hazaribagh","jharkhand",2020,4.13,3322020,"196467",0.24
"hazaribagh","jharkhand",2017,5.63,3322017,"191573",0.24
"hazaribagh","jharkhand",2019,6.265,3322019,"209913",0.24
"hazaribagh","jharkhand",2016,5.8375,3322016,"176363",0.24
"hazaribagh","jharkhand",2012,6.57666666666667,3322012,"149526",0.24
"hazaribagh","jharkhand",2018,6.32666666666667,3322018,"208701",0.24
"hazaribagh","jharkhand",2013,6.0575,3322013,"150609",0.24
"hazaribagh","jharkhand",2011,6.745,3322011,"137383",0.24
"hazaribagh","jharkhand",2015,5.225,3322015,"158231",0.24
"hingoli","maharashtra",2011,5.16,4772011,"1126595",0.27
"hingoli","maharashtra",2019,7.2725,4772019,"1782903",0.27
"hingoli","maharashtra",2014,7.3675,4772014,"1345341",0.27
